Device Name,Variant Grams,Vendor,Variant SKU,Variant Inventory Tracker,Status,Variant Type,Variant Price
milesight-uc500-series-nb-iot,1791.23,Milesight,'123003497,shopify,Active,Hardware,132
milesight-uc500-series-nb-iot,1791.23,Milesight,'123003498,shopify,Active,Hardware,132
milesight-uc500-series-nb-iot,1791.23,Milesight,'123003499,shopify,Active,Hardware,132
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003500,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003501,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003502,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,123003503,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003504,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003505,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003506,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003507,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003508,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003509,shopify,Active,Hardware,198
milesight-smart-restroom-ibox-kit,2352.854,Milesight,'123003510,shopify,Active,Hardware,198
milesight-sp12-probe-for-ts602,5478.265,Milesight,'123003511,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts602,5478.265,Milesight,'123003512,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts602,5478.265,Milesight,'123003513,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts602,5478.265,Milesight,'123003514,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts602,5478.265,Milesight,'123003515,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts603,5478.265,Milesight,'123003516,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts603,5478.265,Milesight,'123003517,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts603,5478.265,Milesight,'123003518,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts603,5478.265,Milesight,'123003519,shopify,Active,Hardware,230
milesight-sp12-probe-for-ts603,5478.265,Milesight,'123003520,shopify,Active,Hardware,230
milesight-am319,5431,Milesight,'123003521,shopify,InActive,Hardware,498
milesight-vs132,4623.87,Milesight,'123003522,shopify,Active,Hardware,299
milesight-vs132,4623.87,Milesight,'123003523,shopify,Active,Hardware,299
milesight-vs132,4623.87,Milesight,'123003524,shopify,Active,Hardware,299
milesight-vs132,4623.87,Milesight,'123003525,shopify,Active,Hardware,299
milesight-vs132,4623.87,Milesight,'123003526,shopify,Active,Hardware,299
milesight-vs132,4623.87,Milesight,'123003527,shopify,Active,Hardware,299
milesight-vs133,4623.87,Milesight,'123003528,shopify,Active,Hardware,340
milesight-vs133,4623.87,Milesight,'123003529,shopify,Active,Hardware,340
milesight-vs133,4623.87,Milesight,'123003530,shopify,Active,Hardware,340
milesight-vs133,4623.87,Milesight,'123003531,shopify,Active,Hardware,340
milesight-vs134,4586.36,Milesight,'123003532,shopify,Active,Hardware,498
milesight-vs134,4586.36,Milesight,'123003533,shopify,Active,Hardware,498
milesight-vs134,4586.36,Milesight,'123003534,shopify,Active,Hardware,498
milesight-vs134,4586.36,Milesight,'123003535,shopify,Active,Hardware,999
milesight-vs135,1231,Milesight,'123003536,shopify,InActive,Hardware,498
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003537,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003538,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003539,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003540,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003541,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003542,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003543,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003544,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003545,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003546,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003547,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003548,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003549,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003550,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003551,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003552,shopify,Active,Hardware,2027
milesight-ms-c2966-rfgpe,3215.965,Milesight,'123003553,shopify,Active,Hardware,2027
